id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized,stem_length
45,A,"{'text': array(['les cellules bactériennes doivent remplir toutes les fonctions vitales',
       'cellules pulmonaires', 'cellule florale', 'cellule arrière'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,si une cellule ne peut se spécialiser alors cette cellule doit accomplir toutes les fonctions de la vie,0.8,0.6,7189327f06,1
7-192,Décès,"{'text': array(['déductions du total de la population',
       'mène à la renaissance du phénix',
       'en plus de la population totale',
       'conduit à la croissance démographique'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,si un organisme meurt alors la population de cet organisme diminuera,1.0,2.0,a8ecf6eaeb,5
10-1021,Caméras,"{'text': array([""peut prendre des instantanés d'amis portant des snapbacks"",
       'peut être utilisé pour leurs propriétés microscopiques',
       'peut être utilisé pour résoudre des mystères',
       'peut emmener des amis dans une aventure'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,une caméra est utilisée pour enregistrer des images,1.0,0.4,a8ecf6eaeb,7
1218,Tsunamis,"{'text': array([""ont peu d'impact sur l'environnement"",
       'peut être facilement arrêté',
       'peuvent réorganiser les rives côtières',
       'peut encourager la croissance économique'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,les événements naturels provoquent généralement des changements à la surface de la Terre,1.0,2.0,a8ecf6eaeb,8
7-321,Les étoiles sont,"{'text': array(['lumières chaudes qui flottent', 'en nitrates',
       'de grandes boules de gaz brûlant des milliards de kilomètres plus loin',
       'lumières dans le ciel'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une étoile est faite de gaz,1.0,1.6,b356d338b7,16
8-285,Les aigles mangent,"{'text': array(['faucons', 'insectes volants', 'végétaux et céréales',
       'petits mammifères terriers'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les aigles mangent des lapins,0.8,1.4,5ac34b743b,18
13-938,Le terrain a,"{'text': array(['électricité', 'divorce', 'éléments', 'compréhension commune'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,La Terre est faite de roche,1.0,2.0,7c933a44d8,12
11-11,Causes de chaleur,"{'text': array(['eau pour se tourner vers la vapeur dans un processus appelé condensation',
       'eau à fondre dans un processus appelé condensation',
       ""l'eau pour se tourner vers la vapeur dans un processus appelé évaporation"",
       'eau à fondre dans un processus appelé abomination'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,évaporation lorsque l'eau est ramenée dans l'air pendant le cycle de l'eau,0.8,2.0,7b06152ffc,17
8-377,Lampes de poche,"{'text': array([""illuminer l'âge d'une personne"",
       'besoin de télécommandes pour fonctionner correctement',
       'rendre plus facile de repérer les jouets de chat sous le canapé',
       'faciliter la recherche de mots'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une lampe de poche émet de la lumière,0.8,1.8,a8ecf6eaeb,15
967,chlorophylle,"{'text': array([""éviterait d'être pincé le jour de St Patrick"",
       ""se fondrait bien dans l'arctique"",
       ""est la couleur des joues d'une personne embarrassée"",
       ""est une couleur utilisée également pour décrire quelqu'un triste""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un chloroplaste contient de la chlorophylle,1.0,1.4,a9f90f5da1,12
