id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized,stem_length
45,A,"{'text': array(['bacterial cell must perform all life functions', 'lung cell',
       'flower cell', 'tail cell'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,if a cell can not specialize then that cell must perform all life functions,0.8,0.6,7189327f06,1
7-192,Death,"{'text': array(['deducts from population total', 'leads to phoenix-like rebirth',
       'adds to the population total', 'leads to population growth'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,if an organism dies then the population of that organism will decrease,1.0,2.0,a8ecf6eaeb,5
10-1021,Cameras,"{'text': array(['can take snapshots of friends wearing snapbacks',
       'can be used for their microscopic properties',
       'can be used for solving mysteries',
       'can take friends on an adventure'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a camera is used for recording images,1.0,0.4,a8ecf6eaeb,7
1218,Tsunamis,"{'text': array(['have little impact on the environment', 'can be easily halted',
       'can rearrange coastal shorelines',
       'can encourage economic growth'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,natural events usually cause changes to Earth 's surface,1.0,2.0,a8ecf6eaeb,8
7-321,Stars are,"{'text': array(['warm lights that float', 'made out of nitrate',
       'great balls of gas burning billions of miles away',
       'lights in the sky'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a star is made of gases,1.0,1.6,b356d338b7,9
8-285,Eagles eat,"{'text': array(['hawks', 'flying insects', 'plants and grains',
       'small burrowing mammals'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,eagles eat rabbits,0.8,1.4,5ac34b743b,10
13-938,Ground has,"{'text': array(['electricity', 'divorce', 'elements', 'common understanding'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,Earth is made of rock,1.0,2.0,7c933a44d8,10
11-11,Heat causes,"{'text': array(['water to turn to vapor in a process called condensation',
       'water to melt in a process called condensation',
       'water to turn to vapor in a process called evaporation',
       'water to melt in a process called abomination'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,evaporation is when water is drawn back up into the air in the water cycle,0.8,2.0,7b06152ffc,11
8-377,Flashlights,"{'text': array([""illuminate a person's age"",
       'need remote controls to properly operate',
       'make it easier to spot cat toys under the couch',
       'make word searches easier'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a flashlight emits light,0.8,1.8,a8ecf6eaeb,11
967,chlorophyll,"{'text': array([""would avoid being pinched on St. Patrick's day"",
       'would blend in well in the arctic',
       ""is the color of an embarrassed person's cheeks"",
       'is a color used also to describe someone sad'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a chloroplast contains chlorophyll,1.0,1.4,a9f90f5da1,11
9-237,Pollution is,"{'text': array(['Fish swimming in the sea', 'The wind carrying seeds',
       'trees in a forest', 'throwing a gum wrapper in the ocean'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,pollution is when humans pollute the environment with pollutants,1.0,2.0,cee82219a0,12
7-766,Sunlight can,"{'text': array(['make eyes more visible', 'bounce from a rod',
       'create a real problem', 'blind a garden gnome'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,light enters the eye through the pupil,0.8,1.0,b356d338b7,12
10-515,Some fish are,"{'text': array(['cannibals', 'Dry', 'Land animals', 'Magic'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,carnivores only eat animals,1.0,0.8,cee82219a0,13
14-132,After a storm,"{'text': array(['drinking water will be in short supply', 'ponds may dry out',
       'creek beds may be spilling over', 'flowers will wilt and wither'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"as dryness increases in an environment , the available water in that environment will decrease",1.0,2.0,52dbc5c7af,13
14-606,The mantle is,"{'text': array(['anger', 'magic', 'passion', 'solid bulk'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,the mantle is a layer of the Earth,1.0,2.0,cee82219a0,13
13-529,Which is true?,"{'text': array(['glaciers make depressions that water can pool in',
       'lions hunt glaciers in the wild',
       'glaciers are generally high temperature objects',
       'glaciers can change directions rapidly for speed'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a glacier causes mechanical weathering,1.0,2.0,7b06152ffc,14
13-581,Which is true?,"{'text': array(['balloons and stars are composed of exactly the same materials',
       'balloons and stars are the same size',
       'stars and balloons share some of the same gases',
       'balloons and stars contain sodium'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,a star is made of gases,1.0,1.8,7b06152ffc,14
