id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized,stem_length,semantic,grammatical,syntactic,mcq_prompt_number_tokens,semantic_norm,grammatical_norm,syntactic_norm,humanScore_norm,clarity_norm,combined_complexity
12-686,Quels sont les oiseaux ?,"{'text': array(['personnes', 'mangeurs de créatures', 'poissons', 'solaire'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,certains oiseaux sont des prédateurs,0.8,1.2,1e6dc77bb6,24,24.069872492924333,3.2766666666666673,3.4576271186440675,49.0,0.029119920475246915,0.04678819886256933,0.00951893602778147,0.0,0.6,0.05562811660967931
10-700,Qu'est-ce qu'un levier utilisé pour se déplacer?,"{'text': array(['planètes', 'petits objets', 'liquides', 'objets substantiels'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,un levier est utilisé pour déplacer des objets lourds,0.8,1.0,1e6dc77bb6,48,27.332678079605103,3.8549387254901966,4.382352941176471,51.0,0.04814655628594904,0.13899941641974978,0.09321737461847361,0.0,0.5,0.10910900419725172
11-443,"Le dérapage provoque des frictions, comme le montre","{'text': array(['exécuter une piste', 'rouler une voiture', 'Courses nascar',
       'à vélo'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"comme la douceur de quelque chose augmente, la friction de ce quelque chose diminuera quand sa surface se déplace contre une autre surface",0.8,1.0,52dbc5c7af,51,33.81308954395354,4.505238095238097,3.5,56.0,0.08593625155280349,0.24269610337902822,0.013354174453770086,0.0,0.5,0.12759595881568053
10-315,"Si un minéral peut en gratter un autre, alors le minéral gratté est quoi ?","{'text': array(['forte', 'doux parlé', 'puissant', 'moelleux'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,si un minéral peut gratter un autre minéral alors cet autre minéral est plus doux que celui-ci,0.8,1.17,1e6dc77bb6,74,50.573055760003626,3.7528399122807024,3.8840579710144927,58.0,0.18366986298653185,0.122718747600398,0.048115886216281115,0.0,0.585,0.13560134904096327
579,Quel corps couvre l'animal qui grince ?,"{'text': array(['Peau', 'Plumes', 'Échelles', 'Fourrure'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,poulets cueillir,1.0,2.0,e57e0b59c9,39,27.073502272367477,3.465208333333334,3.584745762711864,49.0,0.04663520552837248,0.07685303837593575,0.021024651305747235,1.0,1.0,0.14335386856301663
10-793,Un animal qui grince a,"{'text': array(['quatre jambes', 'fourrure', 'dents', 'ailes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,poulets cueillir,1.0,0.83,7189327f06,22,25.325875332579017,4.046875,4.083333333333333,48.0,0.036444141294553575,0.16960555983595674,0.06615262345154625,1.0,0.415,0.15241069737461696
14-948,Les organismes météorologiques chauds vivent dans quel climat?,"{'text': array(['glacé', 'comme un été', 'glacé', 'frigide'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,les organismes qui vivent dans des climats chauds,1.0,2.0,1e6dc77bb6,62,26.316996830515563,3.718076923076924,3.856060606060606,52.0,0.042223740257598154,0.1171754440437139,0.045581799166698404,1.0,1.0,0.16149429504040314
12-550,un régime typique de lapin comprend,"{'text': array(['criquets', 'souris', 'poissons', 'mauvaises herbes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les lapins mangent des plantes,0.8,1.4,9cc91104fa,35,32.81641743052751,4.775272108843538,4.172131147540984,49.0,0.08012428488146678,0.28575570620173474,0.07418985807650055,0.0,0.7,0.16702095474791062
12-487,Les Bluebirds ont un fort sens de quoi ?,"{'text': array(['Magie', 'Imagination', 'Famille', 'Justice'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,les oiseaux bleus vivent dans des espaces herbacés,1.0,1.0,cee82219a0,40,42.06364615820348,3.6692500000000003,4.222222222222222,51.0,0.13404832313185466,0.10938950668465514,0.0787236827367311,1.0,0.5,0.1716484537659723
8-21,Laquelle des cultures suivantes a été le premier aliment de base de l'alimentation humaine?,"{'text': array(['blé', 'orge', 'maïs', 'riz'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les humains mangent des cultures,0.8,1.0,597e8fde0e,91,51.56786726415157,4.151428571428571,4.711267605633803,56.0,0.1894709797514982,0.1862776642101408,0.12298797599442408,0.0,0.5,0.17462098598681894
