Unnamed: 0,id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized
0,7-980,Le soleil est responsable,"{'text': array(['chiots apprenant de nouveaux tours',
       'les enfants qui grandissent et vieillissent',
       'fleurs flétrissant dans un vase',
       'les plantes germant, fleurissant et flétrissant'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,le soleil est la source d'énergie pour les cycles physiques sur Terre,1.0,2.0,b356d338b7
1,7-584,À des kilomètres du mont Rushmore,"{'text': array(['les montagnes semblent très proches',
       'les montagnes sont ennuyantes',
       ""les montagnes ressemblent à celles d'en haut"",
       'les montagnes semblent plus petites que dans les photographies'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"comme la distance à un objet augmente, cet objet apparaîtra plus petit",1.0,1.4,b356d338b7
2,7-870,Lorsque la nourriture est réduite dans l'estomac,"{'text': array([""l'esprit a besoin de temps pour digérer"",
       ""prendre une seconde pour digérer ce que j'ai dit"",
       'les nutriments sont déconstruits',
       ""digest du lecteur est un ensemble d'œuvres""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,digestion est quand l'acide gastrique décompose la nourriture,1.0,1.6,b356d338b7
3,7-321,Les étoiles sont,"{'text': array(['lumières chaudes qui flottent', 'en nitrates',
       'de grandes boules de gaz brûlant des milliards de kilomètres plus loin',
       'lumières dans le ciel'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une étoile est faite de gaz,1.0,1.6,b356d338b7
4,9-732,Vous pouvez faire un télescope avec un,"{'text': array(['paille', 'Verre', 'Bougie', ""tube d'envoi""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,Galileo Galilei a amélioré le télescope pour mieux observer les corps célestes,0.8,1.0,cee82219a0
5,9-782,L'empoisonnement cause-t-il un préjudice?,"{'text': array(['a Arbre', 'un robot', 'une maison', 'une voiture'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,le poison fait du mal aux êtres vivants,1.0,1.8,0a040d1ed1
6,9-87,une caractéristique héréditaire trouvée sur tous les mammifères est,"{'text': array(['clous', 'dents', 'chaussures', 'fourrure'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les couleurs des parties d'un organisme sont des caractéristiques héritées,0.8,1.6,dc78319bb0
7,155,Qu'est-ce qui n'élimine pas les déchets ?,"{'text': array(['végétaux', 'champignons', 'bactéries', 'robots'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,toutes les choses vivantes éliminent les déchets,1.0,1.4,7189327f06
8,1046,Comme une voiture s'approche de vous dans la nuit,"{'text': array(['les phares deviennent plus intenses',
       ""les phares reculent dans l'obscurité"",
       'les phares restent à une constante', ""les phares s'éteignent""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"comme une source de lumière devient plus proche, cette source apparaîtra plus lumineuse",1.0,2.0,a8ecf6eaeb
9,7-637,"Quand le temps change comme il le fait de Noël à Pâques,","{'text': array([""l'air peut refroidir"", 'le sol peut geler',
       'les plantes peuvent mourir', 'le sol peut être chaud'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les saisons provoquent des changements dans l'environnement,1.0,1.8,b356d338b7
10,9-678,L'utilisation de miroirs pour focaliser la lumière recueillie sur les corps célestes permet,"{'text': array(['observation détaillée', 'conclusions antérieures',
       'expériences de rayonnement', 'musique céleste'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,une observation détaillée des objets célestes nécessite un télescope,0.8,1.8,7c933a44d8
11,1591,Laquelle de ces choses complétera les besoins caloriques d'un écureuil?,"{'text': array(['poissons', ""écorce d'arbre"", 'noix', 'feuilles'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,un animal a besoin de manger des aliments pour les nutriments,0.8,1.6,303bb2cb4a
12,9-572,En regardant plus profondément dans un Marbel vous pouvez voir,"{'text': array([""l ' avenir"", 'défauts mineurs', 'couleurs', ""de l ' autre côté""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"comme la taille d'un objet apparaît plus grand, cet objet sera mieux observé",0.8,0.8,dc78319bb0
13,8-72,Que se passe-t-il lorsque le mercure est placé dans l'eau?,"{'text': array(['il se dissout', 'il coule', 'il flotte', 'ça durcit'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,un plan d'eau est une source d'eau,0.8,1.8,7804e1ff8e
14,7-235,"Dans le désert, un faucon peut profiter d'une occasion","{'text': array(['coyote', 'reptile', 'bat', 'scorpion'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,les faucons mangent des lézards,1.0,1.0,b356d338b7
15,7-1167,Un aimant s'en tiendra à,"{'text': array(['une boucle de ceinture', 'une table en bois',
       'une tasse en plastique', 'une plaque de papier'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un aimant attire les métaux magnétiques par le magnétisme,1.0,2.0,83ad69bf22
16,1834,Des périodes plus courtes de lumière du jour se produisent,"{'text': array(['Octobre à décembre', 'Novembre à mars', 'Décembre à avril',
       'Décembre à mars'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,la quantité de lumière du jour est moindre en hiver,0.8,1.4,a8ecf6eaeb
17,9-872,"Une personne est perdue dans une forêt dense, et doit trouver sa maison. Ils savent que leur maison est au sud, et ils se dirigent vers le nord. Ils peuvent trouver la maison en utilisant un","{'text': array(['dispositif de direction nord', 'lecteur de lumière du nord',
       'vents du nord-est', 'crédit central nord'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,une boussole est une sorte d'outil pour déterminer la direction en pointant vers le nord,1.0,1.6,b356d338b7
18,116,Où êtes-vous susceptible de trouver une ressource non renouvelable?,"{'text': array(['une forêt', 'un barrage', 'une mine', 'un panneau solaire'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,le gaz naturel est une ressource non renouvelable,0.8,2.0,7189327f06
19,8-81,"Un homme cherche son chien dans les bois et apporte une lampe de poche. La lampe de poche a deux grandes batteries en elle, qui","{'text': array(['fournir de la lumière grâce au câblage',
       'fournir de la lumière par le plastique',
       'utiliser la lumière pour chauffer la lampe de poche',
       ""fournir de la lumière en raison de l'humidité""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,une lampe de poche convertit l'énergie chimique en énergie légère,1.0,1.8,b356d338b7
20,9-404,le solstice d'été est le 21 Juin dans le,"{'text': array(['dans le pacifique sud', 'partie supérieure de la terre',
       'partie inférieure de la terre', ""l'équateur près des tropiques""],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,le solstice est le 21 juin dans l'hémisphère nord,0.8,1.6,dc78319bb0
21,8-310,"Une souris est chassée par une grande Chouette à cornes. La chouette regarde attentivement la souris, et la souris ignore qu'elle est chassée. La souris est incapable de dire où se trouve la chouette, car","{'text': array(['le hibou est invisible', 'la souris est inconsciente',
       'la souris est aveugle',
       'la chouette correspond à son arrière-plan'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,camouflage est utilisé pour se cacher par les animaux des prédateurs,0.8,1.8,b356d338b7
22,1380,Vous utiliseriez un sismomètre si,"{'text': array(['Un mystérieux grondement au large des côtes du Japon',
       ""Quelqu'un a pété en classe"", 'Les enfants se berçaient par terre',
       ""pour suivre le buzz d'une abeille""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un sismomètre est utilisé pour mesurer la force ou l'ampleur d'un tremblement de terre,1.0,2.0,cee82219a0
23,7-1133,De nombreux animaux qui donnent naissance à des jeunes ont,"{'text': array(['branchies', 'échelles', 'exoskeletons', 'jambes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les mammifères donnent naissance à des jeunes vivants,1.0,1.2,7189327f06
24,9-295,Un enfant ne grandira que s'il est pourvu,"{'text': array(['un lit', 'éducation', 'inspiration', 'énergie'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,un organisme a besoin d'énergie pour se développer,1.0,1.6,dc78319bb0
25,9-512,"Toutes les vingt-quatre heures et cinquante minutes, la lune peut avoir un effet sur les plans d'eau, ce qui les amène à","{'text': array(['gonflement', 'flotteur', 'mourir', 'brûlure'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,la marée haute est une étape du processus de cycle de la marée,1.0,2.0,b356d338b7
26,7-1065,Les nombreux arbres sur un sol forestier,"{'text': array(['sont incapables de se décomposer', 'sont capables de se recréer',
       'sont ventilées pour de bon', 'cassé, passé, va se dégrader'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,si un arbre tombe alors cet arbre est mort,1.0,1.8,b356d338b7
27,9-122,"Une voiture conduit sur une autoroute en essayant d'atteindre la limite de vitesse. Cependant, il y a des vents forts frappant le pare-brise de la voiture. Même si le conducteur essaie d'accélérer, les vents","{'text': array(['retourner la voiture', 'aidez la voiture à aller plus vite',
       ""conflit avec l'objectif du conducteur"",
       'déplacer la voiture latéralement'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,une force agissant sur un objet dans la direction opposée que l'objet se déplace peut faire diminuer la vitesse de cet objet dans un mouvement vers l'avant,1.0,2.0,b356d338b7
28,8-78,"un étudiant laisse une ligne d'ongles sur un échantillon minéral, afin que ce minéral puisse être décrit comme quoi?","{'text': array(['un minéral', 'un minéral doux', 'un minéral liquide',
       'une fonte minérale'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,si un minéral peut être griffé par un ongle alors ce minéral est doux,1.0,1.6,cf7109905e
29,7-749,"Un exemple de changement chimique est l'acide qui décompose les substances, un autre est","{'text': array(['farine ajoutée au sel', ""lait ajouté à l'eau"",
       'maïs ajouté à la soupe', 'jus de citron ajouté au lait'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,Un exemple de changement chimique est la dégradation des substances par l'acide,1.0,2.0,b356d338b7
30,453,La matière dans la phase gazeuse a,"{'text': array(['volume fluctuant', 'volume atteint', 'volume réduit',
       'volume stable'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,La matière en phase gazeuse a un volume variable,0.8,1.4,a8ecf6eaeb
31,9-439,un exemple d'un excellent mouvement de terre est,"{'text': array(['chat', 'chien', 'anneloïdes', 'poissons'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,les vers de terre créent des tunnels dans le sol,0.8,1.8,dc78319bb0
32,21,Quel animal donne naissance à des jeunes ?,"{'text': array(['Requin', 'Tortue', 'Giraffe', 'Araignée'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,les mammifères donnent naissance à des jeunes vivants,1.0,1.8,f4c2e991c2
33,9-938,"Comme les racines d'une plante deviennent plus grandes, ils se séparent","{'text': array(['vers', 'eau', 'granit', 'atomes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,les racines d'une plante décomposent lentement les roches à mesure que les racines poussent,0.8,2.0,7c933a44d8
34,1695,"Dans la nature sauvage, la pollution légère est ?","{'text': array(['moins', 'plus fort', 'plus brillant', 'plus répandu'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"à mesure que la distance vers une ville diminue, la quantité de pollution lumineuse augmentera",1.0,2.0,123d66ccd7
35,9-1171,La vapeur d'eau est un exemple de quoi?,"{'text': array(['humidité', 'chaleur', 'chaleur', 'froid'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,Un exemple d'humidité est la vapeur d'eau dans l'atmosphère,1.0,1.6,1e6dc77bb6
36,9-1070,La chaleur et l'humidité dans l'océan est une bonne recette pour,"{'text': array(['une violente tempête', 'animaux de mer violents', 'condensation',
       'tempêtes intérieures'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,un océan est une source de chaleur et d'humidité pour un ouragan,0.8,1.8,0d935542d3
37,9-650,"si le point d'ébullition de l'eau est atteint, que s'ensuit-il au-delà de ce point?","{'text': array([""l'eau s'évapore rapidement"", ""l'eau se solidifie alors"",
       ""l'eau devient noire"", 'tous ces'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,la vapeur est une sorte d'eau au-dessus de 100 degrés celsius,1.0,1.6,cf7109905e
38,384,Quels sont les effets les plus probables des pluies acides sur le milieu aquatique?,"{'text': array(['diminution de la vie végétale',
       'augmentation de la population de poissons',
       'augmentation de la croissance des plantes',
       'eau plus propre et plus claire'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,les pluies acides ont un impact négatif sur la qualité de l'eau,1.0,1.8,d2ccffd14b
39,1261,"Quand la lune est pleine, elle a un autre","{'text': array(['taille', 'poids', 'distance', 'apparence'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,les phases de la Lune changent l'apparence de la Lune,0.8,2.0,7189327f06
