id,question_stem,choices,answerKey,fact1,humanScore,clarity,turkIdAnonymized,stem_length,semantic,grammatical,syntactic,mcq_prompt_number_tokens,semantic_norm,grammatical_norm,syntactic_norm,humanScore_norm,clarity_norm,combined_complexity
12-686,What are some birds?,"{'text': array(['people', 'creature eaters', 'fish', 'solar'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,some birds are predators,0.8,1.2,1e6dc77bb6,20,73.08915265183896,2.9912101063829786,6.477941176470589,47.0,0.03153193327965933,0.016473613896743382,0.039467568692020706,0.0,0.6,0.056241934760527024
12-782,what do planets orbit?,"{'text': array(['volcanos', 'starlight', 'astral beings', 'people'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,planets orbit stars,0.8,1.6,1e6dc77bb6,22,71.5808659400791,3.7050398936170215,6.492647058823529,47.0,0.02152470876257028,0.1437522376900374,0.041743952233103586,0.0,0.8,0.1021062696057134
9-286,How many odorant receptors do honey bees have?,"{'text': array(['4', '270', '170', '70'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,bees convert nectar into honey,0.8,1.8,150eb89dbe,46,77.82078867405653,3.5602500000000004,6.640845070422535,50.0,0.06292552949601057,0.11793563725065324,0.0646841272140178,0.0,0.9,0.1186635881882045
14-1063,Which is likely to cause a spark?,"{'text': array(['ocean sand', 'wet dirt', 'swamp mud', 'loose brush'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,dry wood easily burns,0.8,1.4,7b06152ffc,33,87.57348093949258,2.9929599056603777,7.366666666666667,53.0,0.12763297562369008,0.016785609904650018,0.17703701402480498,0.0,0.7,0.1314366798659435
12-664,What might have more radiation?,"{'text': array(['cats', 'grass', 'water', 'cigarettes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,radiation is when heat is transferred through waves,1.0,0.8,cee82219a0,31,78.58495479635894,3.542273936170213,6.492647058823529,47.0,0.06799564109655028,0.11473043524536683,0.041743952233103586,1.0,0.4,0.1373410085725062
11-154,What might cause a change in the Earth's surface?,"{'text': array(['Plastic Bottles', 'Happiness', 'Love', 'Sadness'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,natural events usually cause changes to Earth 's surface,1.0,1.6,cee82219a0,49,85.57530876994133,3.195961538461539,6.417808219178082,52.0,0.11437544483157243,0.05298158955245926,0.030159342842523536,1.0,0.8,0.14925491316796657
13-650,Which is likeliest to attract a magnet?,"{'text': array(['feathers', 'a wrench', 'hair', 'blood'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,if a magnet is attracted to a metal then that magnet will stick to that metal,1.0,2.0,7b06152ffc,39,76.83383179176599,3.30125,6.555555555555555,50.0,0.05637723928516361,0.07175493121680021,0.051481815158847685,1.0,1.0,0.15388419569824346
10-685,What can cause animals to leave an environment?,"{'text': array(['grass', 'abundant food', 'earth tremors', 'natural winds'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,natural disasters can cause animals to leave an environment,0.8,1.8,1e6dc77bb6,47,85.32478990033269,4.192959905660377,6.45945945945946,53.0,0.1127132949535722,0.23075027106535867,0.03660670829579469,0.0,0.9,0.15902108229441766
10-198,Alternative fuel is usually a renewable what?,"{'text': array(['sound', 'meal', 'drink', 'asset'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,alternative fuel is usually a renewable resource,1.0,0.67,1e6dc77bb6,45,79.84351324569434,4.057589285714286,6.507142857142857,49.0,0.07634596127916549,0.20661316370879165,0.04398781600931406,1.0,0.335,0.16483408229918134
10-793,An animal that clucks has,"{'text': array(['four legs', 'fur', 'teeth', 'wings'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,chickens cluck,1.0,0.83,7189327f06,25,77.8254804238677,3.6739583333333337,7.0144927536231885,48.0,0.06295665845403449,0.1382102747613329,0.12252257687573834,1.0,0.415,0.16785685302733172
14-1392,An earthquake causes the ground to do what?,"{'text': array(['rain', 'erupt', 'calm', 'quiver'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,an earthquake causes the ground to shake,1.0,2.0,1e6dc77bb6,43,83.08567532338202,3.29225,6.683098591549296,50.0,0.0978571524732825,0.0701501962580949,0.07122472217712965,1.0,1.0,0.17176962127255213
12-210,Which is least likely to have a constant volume?,"{'text': array(['ice', 'play doh', 'food', 'car exhaust'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,Matter in the gas phase has variable volume,1.0,1.4,7b06152ffc,48,96.82091980986297,3.354280660377359,6.445945945945946,53.0,0.18898815183940834,0.08121050394910877,0.03451489639317777,1.0,0.7,0.17641406565450848
14-41,What eats other animals for food?,"{'text': array(['marlins', 'goats', 'rabbits', 'elephants'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,a predator eats other animals for food,1.0,2.0,fceb6ad063,33,68.82514214143157,4.107916666666666,6.507246376811594,48.0,0.0032409524017028594,0.21558673121927657,0.044003840241280213,1.0,1.0,0.1788494571586779
14-1196,Which is a byproduct of a lightbulb?,"{'text': array(['taste', 'death', 'warmth', 'sound'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,an incandescent light bulb converts electricity into heat by sending electricity through a filament,1.0,2.0,7b06152ffc,36,82.3339093727991,3.167793367346939,7.107142857142858,49.0,0.09286931389250747,0.04795909522908242,0.13686426448550165,1.0,1.0,0.18330780208212744
10-13,What are formed by natural geological processes?,"{'text': array(['animals', 'lifeless matter', 'air flow', 'companies'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,all minerals are formed by natural geological processes,0.83,1.33,1e6dc77bb6,48,87.83249104488641,4.620625,6.520833333333333,51.0,0.12935146339969564,0.30700461856589206,0.04610702068684607,0.1499999999999996,0.665,0.18548893079573012
1683,"The doorbell was pushed, but sound failed to emit. What might cause this?","{'text': array(['atmospheric pressure', 'Batteries dead', 'storm', 'temperature'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a doorbell converts electrical energy into sound,1.0,1.8,303bb2cb4a,73,92.36282983142883,3.7250526315789485,6.253164556962025,57.0,0.1594094868656112,0.14732058660413888,0.0046734784912894735,1.0,0.9,0.18842106558831187
9-356,What causes objects that have mass to be pulled down?,"{'text': array(['planetary pull', 'wind', 'water force', 'weight'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,gravitational force causes objects that have mass to be pulled down on a planet,0.8,1.8,1e6dc77bb6,53,108.33945216238499,3.9215277777777784,6.48,54.0,0.2654116451051858,0.18235286833991668,0.03978626238777231,0.0,0.9,0.19126523274986246
14-1440,A wire can be caused to heat up when what kind of current flows through it?,"{'text': array(['wind', 'rocky', 'water', 'zapping power'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,electrical current running through a wire causes that wire to heat up,1.0,2.0,1e6dc77bb6,75,96.82992158923298,3.3546080508474576,6.49375,59.0,0.18904787710683038,0.08126887894161032,0.041914680998684936,1.0,1.0,0.1936694311141377
501,"What contributes more, though less than some believe, to the lung damage caused by smoking?","{'text': array(['smoking less', 'switching to chewing', 'no filters',
       'switching to e-cigs'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,smoking causes direct damage to the lungs,0.8,2.0,a9f90f5da1,91,83.83071239944547,4.559950396825398,6.795454545454545,63.0,0.10280034612180519,0.29618610114146354,0.08861675878358591,0.0,1.0,0.1962809618140564
12-464,Who is likeliest to overuse hot water?,"{'text': array(['a rabbit', 'a squirrel', 'a bird', 'the Johnson family'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a shower is a source of hot water for washing,1.0,2.0,7b06152ffc,38,85.57781277783215,3.8252314814814827,6.566666666666666,54.0,0.11439205849591133,0.1651828646665266,0.053201749389888184,1.0,1.0,0.19983300176569785
12-259,All of the following might be found on the natural satellite orbiting our planet excluding what?,"{'text': array(['H2O', 'rocks', 'dust', 'footprints'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the moon does not contain water,0.8,2.0,3f32b550f3,96,92.32031337358057,4.3748706896551735,6.74375,58.0,0.15912739743523868,0.2631856704477966,0.0806132011970964,0.0,1.0,0.2008778807240395
10-753,What purpose does a plant light serve?,"{'text': array(['Comfort them', 'Mimic sunlight', 'Keep plants warm',
       'Protect from bugs'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,a plant light is used for help plants by mimicking sunlight,1.0,2.0,91004984b9,38,104.83028497267514,3.2044886363636365,6.526666666666666,55.0,0.24212892063269187,0.05450200423021466,0.04700998615814234,1.0,1.0,0.20309227330631469
13-582,Sprinklers during the summer is prohibited because of,"{'text': array(['documentation', 'vaporization', 'solicitation', 'rowdy neighbors'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,evaporation is when water is drawn back up into the air in the water cycle,0.8,1.2,dc78319bb0,53,71.06836055032909,5.668823529411765,6.722222222222222,51.0,0.01812432310548106,0.4939024878781766,0.07728082862445537,0.0,0.6,0.20679229188243392
7-1075,What does harming an organism cause?,"{'text': array(['change in appearance', 'nothing', 'population increase',
       'population decrease'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,harming an animal species causes that animal 's population to decrease,1.0,1.6,78e0a411ed,36,83.3442045301199,4.475769230769231,6.308219178082192,52.0,0.09957244956890708,0.2811762722486959,0.013195607961028168,1.0,0.8,0.20818329893358933
12-913,To look at an eclipse you might be able to use,"{'text': array(['nothing', 'telescope', 'Plain old sunglasses', 'a box'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,looking directly at an eclipse of the Sun causes harm to the eyes,0.8,1.0,cee82219a0,46,87.066705676727,4.612380952380953,7.447368421052632,56.0,0.12427060837967671,0.3055346728530568,0.18952916791341498,0.0,0.5,0.21080033474384455
13-655,two females are incapable of,"{'text': array(['conjuring kin', 'talk', 'dance', 'jog together'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,two females can not usually reproduce with each other,1.0,2.0,6240cdfd8d,28,78.82970050070435,4.4793537414966,6.413043478260869,49.0,0.06961948700985134,0.2818154044347029,0.029421789152023724,1.0,1.0,0.21425700417897336
13-85,Portable energy is useful for,"{'text': array(['soda bottles', 'drool', 'cascading style sheets', 'cattle prods'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,batteries convert chemical energy to electrical energy,0.8,1.6,7c933a44d8,29,78.82360848225653,4.8364705882352945,7.354166666666667,51.0,0.0695790675087749,0.3454907253573909,0.1751020880148844,0.0,0.8,0.21705156426431504
14-1379,What type of aspect can be made from the moving winds?,"{'text': array(['snow', 'wood', 'bananas', 'electricity'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,wind is a source of energy,1.0,2.0,52dbc5c7af,54,97.33216748293489,3.7656014150943395,6.54054054054054,53.0,0.19238019276132332,0.15455059220859688,0.04915757971149564,1.0,1.0,0.21882650940442477
14-184,A patch of thistle grows larger when this is increased:,"{'text': array(['dampness', 'yeast', 'flour', 'milk production'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"as the amount of water received by a plant increases , that plant will usually grow",1.0,2.0,b356d338b7,55,81.32463853061199,4.582232704402516,6.351351351351351,53.0,0.086172974371931,0.3001591231336442,0.019872213074859892,1.0,1.0,0.2218612931741305
7-890,"A bird makes its home in various places, such as","{'text': array(['groves of plants', 'waterways', 'city streets', 'public parks'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,some birds live in forests,0.8,0.6,b356d338b7,48,105.58487499319017,4.862380952380953,6.846153846153847,56.0,0.24713549643474064,0.3501106439282045,0.09646471043221497,0.0,0.3,0.22311325523854802
8-433,What could be put on a wall so that a neighbor stops complaining about your guitar playing at night?,"{'text': array(['paint', 'wallpaper', 'carpet', 'curtains'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,carpet absorbs sound,0.8,1.0,e57e0b59c9,100,104.32535331789404,4.929129098360656,6.652439024390244,61.0,0.23877878541252273,0.3620120976262485,0.06647880266121312,0.0,0.5,0.22518090570999527
12-64,Teak can be found in,"{'text': array(['glacier sheets', 'blue songs', 'groves', 'underwater trenches'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,if something is a raw material then that something comes directly from a source,1.0,2.0,7c933a44d8,20,87.07341503165662,4.124166666666667,6.753521126760564,50.0,0.12431512380278699,0.2184841693391614,0.08212571378231603,1.0,1.0,0.2274775020772793
7-397,"If two hawks find a dead fox, they will","{'text': array(['eat', 'battle', 'starve', 'fly'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,if two animals have the same food source then those two animals compete for food,0.8,1.8,b356d338b7,39,89.07451095990837,4.22764705882353,7.780821917808219,51.0,0.1375920532341166,0.2369351252096784,0.24114579543112308,0.0,0.9,0.2297018921624754
11-161,Which of the following comprises the energy that fuels a toaster?,"{'text': array(['microns', 'protons', 'electrons', 'TRONs'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,electricity is made of moving charges,1.0,1.2,7b06152ffc,65,76.57398544624448,4.615601415094341,7.166666666666666,53.0,0.05465320319885163,0.3061088938640992,0.14607819786607565,1.0,0.6,0.23205208847870792
1977,Materials like ethanol are used to produce electricity by _____.,"{'text': array(['hydroelectric power', 'renewable energy', 'burning',
       'carbon fixation'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,biofuel is used to produce electricity by burning,0.8,2.0,123d66ccd7,64,87.8283048151061,5.314488636363637,6.55625,55.0,0.12932368848066655,0.4307232001044611,0.051589311048287796,0.0,1.0,0.2334908598900246
13-536,The sidewalk next to a house having a crack in it and having vegetation growing from it is considered?,"{'text': array(['insects', 'weathering', 'erosion', 'lava'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,soil erosion is when wind move soil from environments,0.8,1.8,52dbc5c7af,102,101.06860576849431,4.498801229508198,7.091463414634147,61.0,0.21717082210672953,0.28528296708705997,0.13443717959500892,0.0,0.9,0.23606729063663953
10-624,the nervous system sends observations in the form of electrical signals to what?,"{'text': array(['cell towers', 'persons flesh', 'computers', 'plugs'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,the nervous system sends observations in the form of electrical signals to the rest of the body,1.0,2.0,1e6dc77bb6,80,86.5677699483931,4.693190789473684,6.352564102564102,57.0,0.12096025510658527,0.3199433806963888,0.020059939784069114,1.0,1.0,0.23828907267611293
14-198,Which would you have the most difficult time spotting in the woods?,"{'text': array(['an adult Brontosaurus', 'a polar bear', 'a large airplane',
       'satanic leaf-tailed gecko'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,An example of camouflage is an organism looking like leaves,1.0,1.6,7c933a44d8,67,95.56759894732386,4.252459677419354,6.729411764705882,62.0,0.1806725821499119,0.24135931148498294,0.0783937272445404,1.0,0.8,0.24012768626383055
11-67,Glass can become a liquid if,"{'text': array(['it is baked', 'it is frozen', 'it is dampened', 'it is dyed'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,melting point means temperature above which a solid melts,1.0,2.0,b356d338b7,28,95.06685452722013,4.347202380952382,6.48,56.0,0.17735022851609206,0.25825230353406103,0.03978626238777231,1.0,1.0,0.2426166383313776
14-1112,Other than sight bloodhounds can find a meal by,"{'text': array(['social media', 'their phone', 'the internet', 'stench'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,smell is used for finding food by some animals,1.0,2.0,dc78319bb0,47,81.31674016360193,4.550092592592593,6.88,54.0,0.08612057005690804,0.2944284163560796,0.10170389470523057,1.0,1.0,0.24467586433546545
884,There are now many more people because of,"{'text': array(['efficient farming', 'more cities', 'computers', 'global warming'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,the increase of something required by an organism has a positive impact on that organism 's survival,1.0,1.6,7189327f06,41,78.3221886921674,4.9935534591194966,6.77027027027027,53.0,0.0662522329105447,0.37349921139313225,0.08471838205598187,1.0,0.8,0.24734094790789765
7-748,what can baking soda and vinegar do together?,"{'text': array(['they will boil', 'they turn hard', 'a combined reaction',
       'they do nothing'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,baking soda can react chemically with vinegar,1.0,1.8,cf7109905e,45,101.06647869385779,4.377456896551725,6.448717948717949,58.0,0.2171567093301027,0.26364680118305667,0.034943986014227456,1.0,0.9,0.24972424895821607
12-605,Which of the following is true?,"{'text': array(['lemonade can be heated to form water',
       'lemonade can be cooled to form steam',
       'lemonade can be heated to form steam',
       'water can be cooled to form steam'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,steam is a kind of water above 100 degrees celsius,0.8,1.4,7b06152ffc,31,137.31324260123074,3.9915277777777782,6.67741935483871,72.0,0.4576477921002804,0.194834140240958,0.07034560995090496,0.0,0.7,0.251848262687643
12-448,Plankton can be the food as well as the creator of,"{'text': array(['water', 'magic', 'nourishment', 'alcohol'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,In the food chain process some types of plankton have the role of producer,1.0,2.0,dc78319bb0,50,84.56806285120547,4.820911949685536,6.628378378378378,53.0,0.10769254033196944,0.34271655966954007,0.06275435707850506,1.0,1.0,0.25394903712400435
7-1006,A way to keep a cup of coffee warm is to,"{'text': array(['cook it in the oven', 'heat it with a torch', 'put it in the sun',
       'use a heated plate'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,a hot plate is a source of heat,0.8,0.6,b356d338b7,40,112.31498519983143,5.354166666666668,6.747191011235955,68.0,0.29178862726026394,0.43779794702888797,0.08114584936836663,0.0,0.3,0.25821972709725555
9-854,an animal needs to burn complex carbohydrates to,"{'text': array(['stay up', 'move', 'sit', 'sleep'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,an animal requires energy to move,1.0,1.6,dc78319bb0,48,88.32067650649697,4.712941176470588,6.965277777777778,51.0,0.13259049049064928,0.32346495141437664,0.1149043899284665,1.0,0.8,0.26128794955004775
10-721,Due to weathering,"{'text': array(['large submarines are built', 'new bikes are raced',
       'holes in the pathway', '2nd story houses are built'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,weathering means breaking down surface materials from larger whole into smaller pieces by weather,1.0,1.2,52dbc5c7af,17,100.31883965153247,4.679454022988507,6.759493670886076,58.0,0.21219625208019355,0.31749406187435153,0.08305022826022423,1.0,0.6,0.2638221626644308
13-938,Ground has,"{'text': array(['electricity', 'divorce', 'elements', 'common understanding'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,Earth is made of rock,1.0,2.0,7c933a44d8,10,83.33700794074684,4.608333333333334,7.159090909090909,45.0,0.09952470142854894,0.3048129666546974,0.14490551543582086,1.0,1.0,0.2647729550557201
